
Thruster,thruster2,60.36955,44.66488,-3.123469,0.2706498,-0.3329152,255,255,255,255,False,False,0
Thruster,thruster2,60.36955,-44.66488,3.123469,0.2706498,0.3329152,255,255,255,255,False,False,0
Thruster,thruster2,47.4232,57.07179,-3.065724,0.2583579,-0.2540831,255,255,255,255,False,False,0
Thruster,thruster2,47.4232,-57.07179,3.065724,0.2583579,0.2540831,255,255,255,255,False,False,0
Thruster,thruster1,-28.63654,0.1078928,0,1.123077,1.227273,255,255,255,255,False,False,0
Thruster,thruster1,-52.91094,17.36968,0.03779352,0.7972027,0.8067226,255,255,255,255,False,False,0
Thruster,thruster1,-52.91094,-17.36968,-0.03779352,0.7972027,-0.8067226,255,255,255,255,False,False,0
Hull,Kae_mechasw34,44.72607,-57.07179,0.1661389,1,1,255,255,255,255,2,100
Hull,Kae_mechasw34,44.72607,57.07179,-0.1661389,1,-1,255,255,255,255,2,100
Hull,Dst-sw108,-3.086548,17.79999,0.1931037,1,-1,255,255,255,255,2,100
Hull,Dst-sw108,-3.086548,-17.79999,-0.1931037,1,1,255,255,255,255,2,100
Hull,Dst-sw116,87.41346,-23.79999,-0.04387844,1,1,255,255,255,255,2,100
Hull,Dst-sw116,87.41346,23.79999,0.04387844,1,-1,255,255,255,255,2,100
Hull,Kae_mechasw20,37.91346,-47.8,0,1,1,112,112,112,255,1,100
Hull,Kae_mechasw20,37.91346,47.8,0,1,-1,112,112,112,255,1,100
Hull,Dst-sw116,-51.58658,35.79999,-3.027527,1,-1,255,255,255,255,2,100
Hull,Dst-sw116,-51.58658,-35.79999,3.027527,1,1,255,255,255,255,2,100
Hull,Kae_mch-sw80,35.91346,-20.79999,0,1,1,94,94,94,255,2,100
Hull,Kae_mechasw08,-7.08658,-66.79999,0.9126008,1,1,255,255,255,255,1,100
Hull,Kae_robo24,14.91345,-30.79999,0,1,1,196,190,190,255,2,100
Hull,Kae_mechasw08,-7.08658,66.79999,-0.9126008,1,-1,255,255,255,255,1,100
Hull,Kae_robo24,14.91345,30.79999,0,1,-1,196,190,190,255,2,100
Thruster,thruster2,112.6944,-31.39488,1.570796,0.1593996,-0.1817947,255,255,255,255,False,False,0
Thruster,thruster2,112.6944,31.39488,-1.570796,0.1593996,0.1817947,255,255,255,255,False,False,0
Thruster,thruster2,105.6818,-31.39488,1.570796,0.1593996,-0.1817947,255,255,255,255,False,False,0
Thruster,thruster2,105.6818,31.39488,-1.570796,0.1593996,0.1817947,255,255,255,255,False,False,0
Thruster,thruster2,-78.80362,34.63147,-1.570796,0.1593996,0.1817947,255,255,255,255,False,False,0
Thruster,thruster2,-78.80362,-34.63147,1.570796,0.1593996,-0.1817947,255,255,255,255,False,False,0
Thruster,thruster2,-72.33045,35.71033,-1.570796,0.1593996,0.1817947,255,255,255,255,False,False,0
Thruster,thruster2,-72.33045,-35.71033,1.570796,0.1593996,-0.1817947,255,255,255,255,False,False,0
Hull,Kae_mch-sw80,35.91346,20.79999,0,1,-1,94,94,94,255,2,100
Hull,Kae_mechasw54a,91.91346,-28.79999,0,1,1,255,255,255,255,1,100
Hull,Kae_mechasw54a,91.91346,28.79999,0,1,-1,255,255,255,255,1,100
Hull,Kae_mch-sw122,-8.086582,-38.79998,-0.4949746,1,1,89,89,89,255,2,100
Hull,Kae_mch-sw122,-8.086582,38.79998,0.4949747,1,-1,89,89,89,255,2,100
Hull,Kae_mch-sw113,49.91346,11.79999,0,1,-1,178,178,178,255,0,100
Hull,Kae_mch-sw113,49.91346,-11.79999,0,1,1,178,178,178,255,0,100
Hull,Dst-sw09,60.91346,0.2000122,0,1,1,255,255,255,255,2,100
Thruster,thruster2,-25.93939,-46.28316,0.2396188,0.5538462,0.5586854,255,255,255,255,False,False,0
Thruster,thruster2,-25.93939,46.28316,-0.2396188,0.5538462,-0.5586854,255,255,255,255,False,False,0
Hull,Kae_robo45,28.91345,0.2000122,0,1,1,196,190,190,255,1,100
Hull,Kae_mechasw46,-40.16547,16.29999,0,-1,-1,255,255,255,255,2,100
Hull,Kae_mechasw46,-40.16547,-16.29999,0,-1,1,255,255,255,255,2,100
Hull,Kae_mechasw46,-40.16544,19.53657,0,-1,-1,150,150,150,255,1,100
Hull,Kae_mechasw46,-40.16544,-19.53657,0,-1,1,150,150,150,255,1,100
Hull,Kae_mechasw53,-51.08659,-41.20002,-3.309256,1,-1,196,190,190,255,1,100
Hull,Kae_mechasw53,-51.08659,41.20002,-2.973929,1,1,196,190,190,255,1,100
Hull,Kae_mechasw34,-14.61134,-19.31162,-0.2046367,-1,1,194,194,194,255,1,100
Hull,Kae_mechasw34,-14.61134,19.31162,0.2046367,-1,-1,194,194,194,255,1,100
Hull,Kae_mechasw37,28.54315,-32.79739,0,1,1,255,255,255,255,1,100
Hull,Kae_mechasw37,28.54315,32.79739,0,1,-1,255,255,255,255,1,100
Hull,Kae_mch-sw127,-14.08658,0.2000122,0,1,1,255,255,255,255,1,100
