
Thruster,thruster1,-22.69647,39.35001,-0.324657,0.4619236,0.6143476,199,240,255,255
Thruster,thruster2,-5.696442,-47.35001,3.106501,0.1798799,-0.2398589,199,240,255,255
Thruster,thruster2,-5.696442,47.35001,-3.106501,0.1798799,0.2398589,199,240,255,255
Thruster,thruster1,-22.69647,-39.35001,0.3246569,0.4619236,-0.6143476,199,240,255,255
Hull,Kae_shn393,-19.69647,45.35001,0,1,1,227,227,227,255
Thruster,thruster1,-54.69647,0.3500061,0,1.055556,1.466667,199,240,255,255
Hull,Kae_shn393,-19.69647,-45.35001,0,1,-1,227,227,227,255
Hull,Kae_shn501,51.30356,-18.64999,0,1,1,171,171,171,255
Thruster,thruster2,-49.69647,-24.35001,1.555806,0.1798799,-0.2398589,199,240,255,255
Thruster,thruster2,-49.69647,24.35001,-1.555806,0.1798799,0.2398589,199,240,255,255
Thruster,thruster2,27.30356,-33.35001,1.662835,0.1798799,-0.2398589,199,240,255,255
Thruster,thruster2,27.30356,33.35001,-1.662835,0.1798799,0.2398589,199,240,255,255
Hull,Kae_shn501,51.30356,18.64999,0,1,-1,171,171,171,255
Hull,Kae_shn232,-28.69647,0.3500061,0,1,1,171,171,171,255
Hull,Kae_shn294,-34.69647,-23.64999,0,-1,1,255,255,255,255
Hull,Kae_shn294,-34.69647,23.64999,0,-1,-1,255,255,255,255
Hull,Kae_shn377,20.30356,0.3500061,0,1,1,117,117,117,255
Hull,Kae_shn373,-56.69647,0.3500061,0,1,1,219,219,219,255
Hull,Kae_shn300,0.3035278,24.35001,0,1,1,148,148,148,255
Hull,Kae_shn300,0.3035278,-24.35001,0,1,-1,148,148,148,255
Hull,Kae_shn314,12.30353,-35.64999,0,1,1,255,255,255,255
Hull,Kae_shn314,12.30353,35.64999,0,1,-1,255,255,255,255
Hull,Kae_shn372,5.303528,0.3500061,0,1,1,255,255,255,255
Hull,Kae_shn405,-22.69647,13.64999,0,1,-1,255,255,255,255
Hull,Kae_shn371,39.30356,0.3500061,0,1,1,255,255,255,255
Hull,Kae_shn405,-22.69647,-13.64999,0,1,1,255,255,255,255
